reformEventId,canonicalActorId,issueCode,comparisonGroup,matchingVariables,prePeriodStart,prePeriodEnd,postPeriodStart,postPeriodEnd,matchScore,exclusionReason,reviewStatus,notes
hloga-2007-federal-lobbying-disclosure,cand-bffc1d50b4d6,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-ff5bcf90e253,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-d8f170bbb61e,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-beb35a131185,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-2f4776f5615e,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-e4cba166fdc8,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-c0240d2a5cf8,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-8814946618ce,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-5745845f94a0,reviewed-procurement,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; USAspending agency actions; venues=intermediary; opaque_nonprofit_or_dark_money; procurement,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9000,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-5745845f94a0,reviewed-technology,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; USAspending agency actions; venues=intermediary; opaque_nonprofit_or_dark_money; procurement,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9000,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-a1cc40d8c26e,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-a3ed10250ca7,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-07ce6b3e4f19,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-51880653f98f,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,lda-hom,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,lda-mmm,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,lda-tax,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-2baa779c041d,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; Official LDA API; venues=intermediary; opaque_nonprofit_or_dark_money; visible_lobbying,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-1c20e699fdf8,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-bud,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-csp,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-fin,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-gov,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-hcr,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-mar,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-rrr,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-tax,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,lda-tor,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-f7178708cc78,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; Official LDA API; venues=intermediary; opaque_nonprofit_or_dark_money; visible_lobbying,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-9ae6bbdec7a0,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-08f25d003690,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,lda-agr,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,lda-bud,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,lda-ins,treated_hloga_lda_client,official LDA API exact normalized client-name match; visible-lobbying pre/post rows observed; comparison/control assignment remains unresolved,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.8000,,reviewed_treated_visible_lobbying_prepost,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; treated visible-lobbying assignment comes from official LDA API pre/post rows matched by exact normalized client name; matched comparison/control actors are still required before estimation"
hloga-2007-federal-lobbying-disclosure,cand-c1ad13278d87,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; Official LDA API; venues=intermediary; opaque_nonprofit_or_dark_money; visible_lobbying,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-f88fd65ae080,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
hloga-2007-federal-lobbying-disclosure,cand-95050b6a7b48,reviewed-democracy,excluded_no_observed_prepost_window,reviewed exact-ID source systems=IRS/ProPublica dark-money bridge; Intermediary bridge; venues=intermediary; opaque_nonprofit_or_dark_money,2006-01-01,2007-09-13,2007-09-14,2008-12-31,0.9500,observed_prepost_outcome_rows_missing,reviewed_actor_excluded_from_estimation_panel,"reviewed exact-identifier slice from cross-venue adjudication; broader source-product, source-readiness, and calibrated policy-simulation gates remain blocked until row-count, issue-comparability, false-match, and observed pre/post comparison requirements pass; not assigned to treated or comparison group"
